elapsed_time,data
2.6705,"orientation: [0.0000, 0.3162, -0.9487, 0.0000], angular_velocity: [0.1391, -0.4174, 0.0000], linear_acceleration: [0.4102, -0.0742, 0.8906]"
2.6752,"orientation: [0.0005, 0.3162, -0.9487, 0.0003], angular_velocity: [-0.1391, -0.0696, 0.1391], linear_acceleration: [0.4102, -0.0742, 0.8906]"
2.7252,"orientation: [0.0053, 0.3162, -0.9487, 0.0028], angular_velocity: [-0.0696, 0.1391, 0.0696], linear_acceleration: [0.4102, -0.0742, 0.8867]"
2.7753,"orientation: [0.0102, 0.3161, -0.9486, 0.0055], angular_velocity: [0.0000, -0.0696, 0.0696], linear_acceleration: [0.4102, -0.0742, 0.8789]"
2.8252,"orientation: [0.0153, 0.3160, -0.9486, 0.0082], angular_velocity: [-0.2087, 0.0000, 0.2087], linear_acceleration: [0.4141, -0.0703, 0.8750]"
2.8753,"orientation: [0.0205, 0.3160, -0.9485, 0.0110], angular_velocity: [0.0000, 0.0696, 0.0696], linear_acceleration: [0.3945, -0.0703, 0.8750]"
2.9253,"orientation: [0.0259, 0.3159, -0.9483, 0.0141], angular_velocity: [0.3478, 0.0000, -0.0696], linear_acceleration: [0.4141, -0.0742, 0.8750]"
2.9752,"orientation: [0.0316, 0.3158, -0.9481, 0.0172], angular_velocity: [0.0000, 0.2087, 0.0696], linear_acceleration: [0.4141, -0.0742, 0.8789]"
3.0252,"orientation: [0.0373, 0.3158, -0.9479, 0.0203], angular_velocity: [-0.0696, -0.0696, -0.0696], linear_acceleration: [0.4102, -0.0742, 0.8828]"
3.0754,"orientation: [0.0432, 0.3158, -0.9476, 0.0234], angular_velocity: [-0.0696, 0.0696, -0.2087], linear_acceleration: [0.4062, -0.0742, 0.8906]"
3.1252,"orientation: [0.0493, 0.3156, -0.9473, 0.0267], angular_velocity: [0.0000, 0.0696, 0.2783], linear_acceleration: [0.4023, -0.0664, 0.8789]"
3.1753,"orientation: [0.0556, 0.3155, -0.9468, 0.0301], angular_velocity: [0.2087, -0.0696, -0.2087], linear_acceleration: [0.4141, -0.0703, 0.8789]"
3.2253,"orientation: [0.0620, 0.3153, -0.9464, 0.0337], angular_velocity: [0.0696, 0.0000, 0.0696], linear_acceleration: [0.4102, -0.0703, 0.8867]"
3.2753,"orientation: [0.0688, 0.3150, -0.9458, 0.0374], angular_velocity: [0.0696, 0.2087, 0.2783], linear_acceleration: [0.4141, -0.0781, 0.8789]"
3.3253,"orientation: [0.0757, 0.3148, -0.9452, 0.0412], angular_velocity: [-0.0696, 0.0696, -0.0696], linear_acceleration: [0.4141, -0.0781, 0.8828]"
3.3753,"orientation: [0.0828, 0.3148, -0.9445, 0.0449], angular_velocity: [-0.0696, -0.0696, -0.3478], linear_acceleration: [0.4102, -0.0664, 0.8867]"
3.4252,"orientation: [0.0901, 0.3144, -0.9437, 0.0490], angular_velocity: [0.0696, 0.1391, 0.1391], linear_acceleration: [0.4102, -0.0781, 0.8789]"
3.4753,"orientation: [0.0976, 0.3141, -0.9429, 0.0531], angular_velocity: [0.0000, 0.0696, 0.1391], linear_acceleration: [0.4141, -0.0742, 0.8828]"
3.5253,"orientation: [0.1053, 0.3138, -0.9419, 0.0572], angular_velocity: [0.0000, -0.0696, -0.1391], linear_acceleration: [0.4102, -0.0742, 0.8828]"
3.5754,"orientation: [0.1133, 0.3134, -0.9408, 0.0615], angular_velocity: [-0.0696, -0.0696, 0.0696], linear_acceleration: [0.4180, -0.0703, 0.8789]"
3.6253,"orientation: [0.1212, 0.3130, -0.9397, 0.0660], angular_velocity: [0.0696, -0.1391, 0.1391], linear_acceleration: [0.4062, -0.0781, 0.8867]"
3.6753,"orientation: [0.1295, 0.3125, -0.9384, 0.0704], angular_velocity: [-0.0696, -0.0696, 0.0696], linear_acceleration: [0.4102, -0.0703, 0.8828]"
3.7253,"orientation: [0.1380, 0.3120, -0.9370, 0.0751], angular_velocity: [0.0696, -0.0696, 0.1391], linear_acceleration: [0.4102, -0.0781, 0.8828]"
3.7754,"orientation: [0.1468, 0.3114, -0.9355, 0.0800], angular_velocity: [0.0696, -0.0696, 0.2783], linear_acceleration: [0.4219, -0.0742, 0.8828]"
3.8252,"orientation: [0.1557, 0.3108, -0.9338, 0.0849], angular_velocity: [0.1391, 0.0696, 0.0696], linear_acceleration: [0.3984, -0.0742, 0.8867]"
3.8753,"orientation: [0.1650, 0.3101, -0.9319, 0.0900], angular_velocity: [0.1391, 0.2087, 0.1391], linear_acceleration: [0.4141, -0.0703, 0.8789]"
3.9253,"orientation: [0.1744, 0.3095, -0.9299, 0.0952], angular_velocity: [0.0000, 0.1391, -0.0696], linear_acceleration: [0.4102, -0.0781, 0.8867]"
3.9753,"orientation: [0.1840, 0.3087, -0.9278, 0.1004], angular_velocity: [0.0000, -0.0696, 0.0696], linear_acceleration: [0.4141, -0.0703, 0.8906]"
4.0253,"orientation: [0.1938, 0.3079, -0.9254, 0.1057], angular_velocity: [0.1391, 0.0000, 0.1391], linear_acceleration: [0.4023, -0.0703, 0.8828]"
