elapsed_time,u_ref (mm),alphadot_ref (rad/s),phi_ref (rad)
0.0518,0.0,0.0,0.0
0.1518,0.0,0.0,0.0
0.2518,0.0,0.0,0.0
0.3518,0.0,-0.0037639494985342026,0.0
0.4518,0.0,0.0,0.0
0.5518,0.0,0.0,0.0
0.6518,0.0,0.011248250624963216,0.0
0.7518,0.0,0.01874708526191257,0.0
0.8518,0.0,0.03374475098791577,0.0
0.9518,0.0,0.022496501249926432,0.0
1.0518,0.0,0.011248250624963216,0.0
1.1525,0.0,0.014997667499950953,0.0
1.2518,0.0,0.01874708526191257,0.0
1.3518,0.0,0.022496501249926432,0.0
1.4517,0.0,0.1049836760475522,0.0
1.5518,0.0,0.45744339625040686,0.0
1.6518,0.0,0.46494222822643466,0.0
1.7518,0.0,0.45744339625040686,0.0
1.8517,0.0,0.014997667499950953,0.0
1.9517,0.0,0.011248250624963216,0.0
2.0517,0.0,0.007498833749975477,0.0
2.1518,0.0,0.011248250624963216,0.0
2.2517,0.0,0.048742418487866715,0.0
2.3517,0.0,0.4761904761904762,0.0
2.4518,0.0,0.4761904761904762,0.0
2.5517,0.0,0.4761904761904762,0.0
2.6519,0.0,0.0037494168749877383,0.0
2.7518,0.0,0.0037494168749877383,0.0
2.8517,0.0,0.0037494168749877383,0.0
2.9518,0.0,0.0037494168749877383,0.0
3.0516,0.0,0.0,0.0
3.1515,0.0,0.0,0.0
3.2518,0.0,0.022496501249926432,0.0
3.3518,0.0,0.08248717302367801,0.0
3.4517,0.0,0.47244106020246235,0.0
3.5518,0.0,0.0037494168749877383,0.0
3.6518,0.0,0.0037494168749877383,0.0
3.7518,0.0,0.0037494168749877383,0.0
3.8518,0.0,0.0037494168749877383,0.0
3.9517,0.0,0.0037494168749877383,0.0
4.0518,0.0,0.0037494168749877383,0.0
4.1518,0.0,0.0037494168749877383,0.0
4.2518,0.0,0.0037494168749877383,0.0
4.3518,0.0,0.0037494168749877383,0.0
4.4517,0.0,0.0037494168749877383,0.0
4.5517,0.0,0.0037494168749877383,0.0
4.6517,0.0,0.0037494168749877383,0.0
4.7518,0.0,0.0037494168749877383,0.0
4.8518,0.0,0.0037494168749877383,0.0
4.9517,0.0,0.0037494168749877383,0.0
5.0518,0.0,0.0037494168749877383,0.0
5.1518,0.0,0.0037494168749877383,0.0
5.2537,0.0,0.0037494168749877383,0.0
5.3518,0.0,0.0037494168749877383,0.0
5.4517,0.0,0.0037494168749877383,0.0
5.5518,0.0,0.0037494168749877383,0.0
5.6519,0.0,0.0037494168749877383,0.0
5.7518,0.0,0.0037494168749877383,0.0
5.8518,0.0,0.0037494168749877383,0.0
5.9518,0.0,0.0037494168749877383,0.0
6.0517,0.0,0.029995334999901906,0.0
6.1517,0.0,0.4686916442144485,0.0
6.2517,0.0,0.4761904761904762,0.0
6.3517,0.0,0.36370796816689627,0.0
6.4518,0.0,0.32996322427477154,0.0
6.5518,0.0,0.007498833749975477,0.0
6.6517,0.0,0.007498833749975477,0.0
6.7517,0.0,0.0037494168749877383,0.0
6.8518,0.0,0.0037494168749877383,0.0
6.9518,0.0,0.0037494168749877383,0.0
7.0518,0.0,0.0037494168749877383,0.0
7.1517,0.0,0.0037494168749877383,0.0
7.2517,0.0,0.0037494168749877383,0.0
7.3518,0.0,0.0037494168749877383,0.0
7.4518,0.0,0.0037494168749877383,0.0
7.5518,0.0,0.0,0.0
7.6518,0.0,-0.0037639494985342026,0.0
7.7516,0.0,-0.0037639494985342026,0.0
7.8518,0.0,-0.0037639494985342026,0.0
7.9518,0.0,0.0,0.0
8.0518,0.0,0.0,0.0
8.1517,0.0,0.0,0.0
8.2518,0.0,0.0,0.0
8.3518,0.0,0.0,0.0
8.4518,0.0,0.0,0.0
8.5518,0.0,0.0,0.0
8.6518,0.0,0.0,0.0
8.7518,0.0,0.0,0.0
8.8518,0.0,0.0,0.0
8.9519,0.0,0.0,0.0
9.0518,0.0,0.0,0.0
9.1518,0.0,0.0,0.0
9.2517,0.0,0.0,0.0
9.3517,0.0,0.0,0.0
9.4518,0.0,0.0,0.0
