Time,RefMotorASpeed,MotorASpeed,RefMotorBSpeed,MotorBSpeed
0.10,0.00,-0.00,0.00,-0.00
0.20,0.00,-0.00,0.00,-0.00
0.30,0.00,-0.00,0.00,-0.00
0.40,0.00,-0.00,0.00,-0.00
0.50,0.00,-0.00,0.00,-0.00
0.60,0.00,-0.00,0.00,-0.00
0.70,0.00,-0.00,0.00,-0.00
0.80,0.00,-0.00,0.00,-0.00
0.90,0.00,-0.00,0.00,-0.00
1.00,0.00,-0.00,0.00,-0.00
1.10,0.00,-0.00,0.00,-0.00
1.20,0.00,-0.00,0.00,-0.00
1.30,0.00,-0.00,0.00,-0.00
1.40,0.00,-0.00,0.00,-0.00
1.50,0.00,-0.00,0.00,-0.00
1.60,0.00,-0.00,0.00,-0.00
1.70,0.00,-0.00,0.00,-0.00
1.80,0.00,-0.00,0.00,-0.00
1.90,0.00,-0.00,0.00,-0.00
2.00,0.00,-0.00,0.00,-0.00
2.10,0.00,-0.00,0.00,-0.00
2.20,0.00,-0.00,0.00,-0.00
2.30,0.00,-0.00,0.00,-0.00
2.40,0.00,-0.00,0.00,-0.00
2.50,0.00,-0.00,0.00,-0.00
2.60,0.00,-0.00,0.00,-0.00
2.70,0.00,-0.00,0.00,-0.00
2.80,0.00,-0.00,0.00,-0.00
2.90,0.00,-0.00,0.00,-0.00
3.00,0.11,-0.00,-0.11,-0.00
3.10,0.18,-0.00,-0.18,-0.00
3.20,0.20,-0.00,-0.20,-0.00
3.30,0.20,-0.00,-0.20,-0.00
3.40,0.36,-0.00,-0.36,-0.00
3.50,0.38,-0.00,-0.38,-0.00
3.60,0.39,-0.00,-0.39,-0.00
3.70,0.42,-0.00,-0.42,-0.00
3.80,0.50,-0.00,-0.50,-0.00
3.90,0.50,-0.00,-0.50,-0.00
4.00,0.50,-0.00,-0.50,-0.00
4.10,0.50,-0.23,-0.50,-0.00
4.20,0.50,-0.21,-0.50,-0.00
4.30,0.50,-0.30,-0.50,-0.00
4.40,0.50,-0.15,-0.50,-0.00
4.50,0.50,-0.31,-0.50,-0.00
4.60,0.50,-0.09,-0.50,-0.00
4.70,0.50,-0.07,-0.50,-0.00
4.80,0.50,-0.07,-0.50,-0.00
4.90,0.50,-0.07,-0.50,-0.00
5.00,0.50,-0.07,-0.50,-0.00
5.10,0.50,-0.07,-0.50,-0.00
5.20,0.50,-0.07,-0.50,-0.00
5.30,0.50,-0.07,-0.50,-0.00
5.40,0.50,-0.07,-0.50,-0.00
5.50,0.50,-0.07,-0.50,-0.00
5.60,0.50,-0.07,-0.50,-0.00
5.70,0.50,-0.00,-0.50,-0.00
5.80,0.50,-0.00,-0.50,-0.00
5.90,0.50,-0.00,-0.50,-0.00
6.00,0.50,-0.00,-0.50,-0.00
6.10,0.50,-0.00,-0.50,-0.00
6.20,0.00,-0.00,0.00,-0.00
6.30,0.00,-0.18,0.00,-0.00
6.40,0.00,-0.07,0.00,-0.00
6.50,0.00,-0.05,0.00,-0.00
